标普500行业分类,每股营收增速,EPS增速,FCF增速,FCF票面,week
KIE-US,9.15%,26.01%,16.48%,12.41%,Latest
XLK-US,12.37%,24.93%,14.32%,2.40%,Latest
信息技术,15.15%,28.62%,10.36%,2.23%,Latest
公用事业,9.89%,12.96%,2.92%,-3.20%,Latest
医疗健康,10.33%,27.66%,32.87%,4.12%,Latest
可选消费品,4.74%,3.97%,-16.36%,1.83%,Latest
地产,5.28%,3.08%,4.35%,3.53%,Latest
工业,3.86%,8.38%,11.31%,2.85%,Latest
日常消费品,1.18%,-10.84%,-0.16%,3.32%,Latest
材料,5.52%,-0.83%,5.20%,2.27%,Latest
标普100（大盘）,2.26%,17.99%,1.84%,3.07%,Latest
标普400（中盘）,2.16%,0.18%,-4.75%,4.95%,Latest
标普500,6.36%,15.30%,5.60%,3.28%,Latest
标普600（小盘）,4.24%,28.21%,15.60%,4.26%,Latest
能源,-1.45%,-11.32%,-14.30%,4.92%,Latest
通信服务,9.54%,30.05%,16.27%,3.23%,Latest
金融,3.52%,15.79%,-0.33%,7.74%,Latest
KIE-US,8.77%,25.73%,16.21%,12.50%,2026W4
KIE-US,9.15%,26.01%,16.48%,12.41%,2026W5
XLK-US,12.38%,24.95%,14.32%,2.38%,2026W4
XLK-US,12.37%,24.93%,14.32%,2.40%,2026W5
中盘股股息,8.71%,-1.54%,16.55%,5.45%,2026W4
中盘股股息,8.95%,-1.32%,16.81%,5.46%,2026W5
信息技术,15.07%,28.53%,10.28%,2.22%,2026W4
信息技术,15.15%,28.62%,10.36%,2.23%,2026W5
公用事业,9.88%,12.95%,2.92%,-3.26%,2026W4
公用事业,9.89%,12.96%,2.92%,-3.20%,2026W5
医疗健康,10.18%,27.49%,32.68%,4.05%,2026W4
医疗健康,10.33%,27.66%,32.87%,4.12%,2026W5
可选消费品,4.32%,3.81%,-17.01%,1.80%,2026W4
可选消费品,4.74%,3.97%,-16.36%,1.83%,2026W5
地产,5.28%,3.08%,4.35%,3.55%,2026W4
地产,5.28%,3.08%,4.35%,3.53%,2026W5
工业,4.00%,8.53%,11.46%,2.87%,2026W4
工业,3.86%,8.38%,11.31%,2.85%,2026W5
日常消费品,0.78%,-11.21%,-0.55%,3.34%,2026W4
日常消费品,1.18%,-10.84%,-0.16%,3.32%,2026W5
材料,5.52%,-0.83%,5.20%,2.25%,2026W4
材料,5.52%,-0.83%,5.20%,2.27%,2026W5
标普100（大盘）,2.18%,17.95%,1.81%,3.09%,2026W4
标普100（大盘）,2.26%,17.99%,1.84%,3.07%,2026W5
标普400（中盘）,1.66%,-0.30%,-8.38%,4.70%,2026W4
标普400（中盘）,2.16%,0.18%,-4.75%,4.95%,2026W5
标普500,6.13%,15.07%,5.35%,3.28%,2026W4
标普500,6.36%,15.30%,5.60%,3.28%,2026W5
标普600（小盘）,4.32%,26.87%,14.57%,4.23%,2026W4
标普600（小盘）,4.24%,28.21%,15.60%,4.26%,2026W5
现金奶牛,20.99%,13.56%,28.16%,6.59%,2026W4
现金奶牛,21.08%,13.57%,28.16%,6.62%,2026W5
美股全市场,4.08%,14.61%,5.63%,3.28%,2026W4
美股全市场,4.06%,14.28%,5.75%,3.28%,2026W5
能源,-1.30%,-11.19%,-14.17%,5.11%,2026W4
能源,-1.45%,-11.32%,-14.30%,4.92%,2026W5
通信服务,8.99%,29.40%,15.69%,3.34%,2026W4
通信服务,9.54%,30.05%,16.27%,3.23%,2026W5
金融,3.45%,15.71%,-0.39%,7.79%,2026W4
金融,3.52%,15.79%,-0.33%,7.74%,2026W5
